Number,Hora,Total,Es_Bessons,Lubi,Son_Rues,Valldurgent,Son_Orlandis,Murterar_Power,GESA,Santa_Ponsa,Cas_Tresoare,Cala_Bosc,Ciutadella,Mahon,Dragonera,Es_Merceds,Elvissa
56,9:10:00,554,36.6651318,12.88596935,39.50063046,128.2703367,4.298372041,26.20976409,11.81213857,9.852900474,151.4634961,1.447450098,24.042655,7.810906251,6.510227216,6.948184529,86.28183739
57,9:20:00,565,37.39313984,13.14182795,40.284939,130.8172206,4.383718778,26.73017457,12.04667562,10.04853568,154.470894,1.476190082,24.52003624,7.965996448,6.639491655,7.086144872,87.99501466
58,9:30:00,576,38.12114787,13.39768655,41.06924755,133.3641045,4.469065516,27.25058505,12.28121267,10.24417089,157.4782919,1.504930066,24.99741747,8.121086644,6.768756095,7.224105215,89.70819194
59,9:40:00,581,38.45206061,13.51398591,41.42575143,134.5217791,4.507859487,27.48713526,12.38782042,10.33309598,158.845291,1.517993695,25.21440895,8.191582188,6.827512658,7.286814461,90.48690888
60,9:50:00,592,39.18006864,13.76984451,42.21005998,137.068663,4.593206224,28.00754574,12.62235747,10.52873119,161.8526889,1.546733679,25.69179018,8.346672384,6.956777097,7.424774804,92.20008616
61,10:00:00,602,39.84189413,14.00244323,42.92306775,139.384012,4.670794167,28.48064618,12.83557296,10.70658138,164.5866871,1.572860937,26.12577312,8.487663472,7.074290224,7.550193297,93.75752005
62,10:10:00,614,40.63608471,14.2815617,43.77867707,142.1624309,4.763899699,29.0483667,13.09143156,10.92000161,167.8674848,1.604213647,26.64655266,8.656852777,7.215305976,7.700695489,95.62644071
63,10:20:00,620,41.03318,14.42112094,44.20648174,143.5516403,4.810452465,29.33222696,13.21936086,11.02671172,169.5078837,1.619890002,26.90694242,8.741447429,7.285813852,7.775946585,96.56090105
64,10:30:00,624,41.29791019,14.51416043,44.49168484,144.4777799,4.841487642,29.52146713,13.30464706,11.0978518,170.6014829,1.630340905,27.0805356,8.797843864,7.332819103,7.826113983,97.1838746
65,10:40:00,633,41.89355313,14.72349928,45.13339184,146.5615941,4.911316791,29.94725753,13.49654101,11.25791697,173.0620812,1.653855437,27.47112025,8.924735843,7.438580917,7.938990627,98.5855651
66,10:50:00,637,42.15828332,14.81653877,45.41859495,147.4877337,4.942351968,30.1364977,13.58182721,11.32905704,174.1556805,1.66430634,27.64471342,8.981132278,7.485586167,7.989158024,99.20853866
67,11:00:00,641,42.42301351,14.90957826,45.70379805,148.4138733,4.973387145,30.32573787,13.6671134,11.40019712,175.2492797,1.674757244,27.8183066,9.037528713,7.532591418,8.039325421,99.83151221
68,11:10:00,643,42.55537861,14.956098,45.84639961,148.8769431,4.988904734,30.42035796,13.7097565,11.43576716,175.7960794,1.679982695,27.90510319,9.065726931,7.556094043,8.06440912,100.142999
69,11:20:00,643,42.55537861,14.956098,45.84639961,148.8769431,4.988904734,30.42035796,13.7097565,11.43576716,175.7960794,1.679982695,27.90510319,9.065726931,7.556094043,8.06440912,100.142999
70,11:30:00,644,42.62156116,14.97935788,45.91770038,149.108478,4.996663528,30.467668,13.73107805,11.45355218,176.0694792,1.682595421,27.94850148,9.07982604,7.567845356,8.076950969,100.2987424
71,11:40:00,652,43.15102155,15.16543686,46.4881066,150.9607572,5.058733882,30.84614835,13.90165045,11.59583233,178.2566777,1.703497228,28.29568784,9.19261891,7.661855857,8.177285764,101.5446895
72,11:50:00,651,43.084839,15.14217698,46.41680582,150.7292223,5.050975088,30.79883831,13.8803289,11.57804731,177.9832779,1.700884502,28.25228954,9.178519801,7.650104545,8.164743915,101.3889461
73,12:00:00,656,43.41575174,15.25847635,46.77330971,151.8868968,5.089769059,31.03538853,13.98693665,11.6669724,179.3502769,1.713948131,28.46928101,9.249015345,7.708861108,8.227453161,102.167663
74,12:10:00,657,43.48193429,15.28173622,46.84461049,152.1184317,5.097527854,31.08269857,14.0082582,11.68475742,179.6236767,1.716560857,28.51267931,9.263114453,7.720612421,8.239995011,102.3234064
75,12:20:00,660,43.68048193,15.35151584,47.05851282,152.8130365,5.120804237,31.2246287,14.07222285,11.73811248,180.4438762,1.724399034,28.64287419,9.30541178,7.755866359,8.277620558,102.7906366
76,12:30:00,665,44.01139467,15.4678152,47.4150167,153.970711,5.159598208,31.46117892,14.1788306,11.82703757,181.8108752,1.737462663,28.85986566,9.375907323,7.814622922,8.340329805,103.5693535
77,12:40:00,666,44.07757722,15.49107507,47.48631748,154.2022459,5.167357002,31.50848896,14.20015215,11.84482259,182.084275,1.740075389,28.90326396,9.390006432,7.826374235,8.352871654,103.7250969
78,12:50:00,666,44.07757722,15.49107507,47.48631748,154.2022459,5.167357002,31.50848896,14.20015215,11.84482259,182.084275,1.740075389,28.90326396,9.390006432,7.826374235,8.352871654,103.7250969
79,13:00:00,666,44.07757722,15.49107507,47.48631748,154.2022459,5.167357002,31.50848896,14.20015215,11.84482259,182.084275,1.740075389,28.90326396,9.390006432,7.826374235,8.352871654,103.7250969
80,13:10:00,667,44.14375977,15.51433494,47.55761826,154.4337808,5.175115797,31.555799,14.2214737,11.86260761,182.3576749,1.742688115,28.94666225,9.404105541,7.838125547,8.365413504,103.8808403
81,13:20:00,672,44.47467251,15.63063431,47.91412214,155.5914553,5.213909768,31.79234922,14.32808145,11.9515327,183.7246739,1.755751744,29.16365372,9.474601085,7.896882111,8.42812275,104.6595573
82,13:30:00,668,44.20994232,15.53759482,47.62891903,154.6653157,5.182874591,31.60310905,14.24279525,11.88039263,182.6310747,1.745300841,28.99006054,9.41820465,7.84987686,8.377955353,104.0365837
83,13:40:00,666,44.07757722,15.49107507,47.48631748,154.2022459,5.167357002,31.50848896,14.20015215,11.84482259,182.084275,1.740075389,28.90326396,9.390006432,7.826374235,8.352871654,103.7250969
84,13:50:00,669,44.27612487,15.56085469,47.70021981,154.8968506,5.190633385,31.65041909,14.2641168,11.89817765,182.9044745,1.747913566,29.03345884,9.432303758,7.861628173,8.390497202,104.1923271
85,14:00:00,667,44.14375977,15.51433494,47.55761826,154.4337808,5.175115797,31.555799,14.2214737,11.86260761,182.3576749,1.742688115,28.94666225,9.404105541,7.838125547,8.365413504,103.8808403
86,14:10:00,660,43.68048193,15.35151584,47.05851282,152.8130365,5.120804237,31.2246287,14.07222285,11.73811248,180.4438762,1.724399034,28.64287419,9.30541178,7.755866359,8.277620558,102.7906366
87,14:20:00,654,43.28338664,15.2119566,46.63070815,151.423827,5.074251471,30.94076844,13.94429355,11.63140236,178.8034773,1.708722679,28.38248442,9.220817127,7.685358483,8.202369463,101.8561763
88,14:30:00,653,43.21720409,15.18869673,46.55940738,151.1922921,5.066492677,30.89345839,13.922972,11.61361735,178.5300775,1.706109953,28.33908613,9.206718018,7.67360717,8.189827613,101.7004329
89,14:40:00,646,42.75392626,15.02587762,46.06030194,149.5715478,5.012181117,30.56228809,13.77372115,11.48912221,176.6162788,1.687820873,28.03529807,9.108024257,7.591347981,8.102034668,100.6102292
90,14:50:00,640,42.35683096,14.88631839,45.63249728,148.1823384,4.965628351,30.27842783,13.64579185,11.3824121,174.9758799,1.672144518,27.77490831,9.023429605,7.520840105,8.026783572,99.67576882
91,15:00:00,639,42.29064842,14.86305851,45.5611965,147.9508035,4.957869556,30.23111779,13.6244703,11.36462708,174.7024801,1.669531792,27.73151001,9.009330496,7.509088793,8.014241723,99.52002543
92,15:10:00,633,41.89355313,14.72349928,45.13339184,146.5615941,4.911316791,29.94725753,13.49654101,11.25791697,173.0620812,1.653855437,27.47112025,8.924735843,7.438580917,7.938990627,98.5855651
93,15:20:00,630,41.69500548,14.65371966,44.91948951,145.8669893,4.888040408,29.80532739,13.43257636,11.20456191,172.2418818,1.64601726,27.34092536,8.882438517,7.403326979,7.901365079,98.11833493
94,15:30:00,628,41.56264038,14.60719992,44.77688795,145.4039195,4.872522819,29.71070731,13.38993326,11.16899187,171.6950822,1.640791808,27.25412877,8.854240299,7.379824353,7.87628138,97.80684816
95,15:40:00,621,41.09936255,14.44438081,44.27778251,143.7831752,4.818211259,29.379537,13.24068241,11.04449674,169.7812835,1.622502727,26.95034071,8.755546538,7.297565165,7.788488435,96.71664444
96,15:50:00,618,40.9008149,14.37460119,44.06388018,143.0885705,4.794934876,29.23760687,13.17671776,10.99114168,168.9610841,1.61466455,26.82014583,8.713249212,7.262311227,7.750862887,96.24941427
